avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.0,4.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
0.06,-0.06,3.36,0.9900493386913721,0.53,7,-7,0.0,0.0,0.0005,0.5346534653465347
0.16,-0.16,3.56,0.980197693043223,0.58,23,-23,0.0,0.0,0.0005,0.5572139303482587
0.14,-0.14,3.42,0.970444077784251,0.57,35,-35,0.0,0.0,0.0005,0.5614617940199336
0.18,-0.18,3.57,0.9607875174472562,0.59,53,-53,0.0,0.0,0.0005,0.5685785536159601
0.08,-0.08,3.54,0.9512270462715811,0.54,63,-63,0.0,0.0,0.0005,0.562874251497006
0.18,-0.18,3.64,0.9417617081065252,0.59,79,-79,0.0,0.0,0.0005,0.56738768718802
-0.06,0.06,3.48,0.9323905563157222,0.47,75,-75,0.0,0.0,0.0005,0.5534950071326676
0.1,-0.1,3.55,0.9231126536824614,0.55,83,-83,0.0,0.0,0.0005,0.5530586766541823
0.18,-0.18,3.63,0.9139270723159584,0.59,101,-101,0.0,0.0,0.0005,0.5571587125416204
-0.14,0.14,3.33,0.9048328935585562,0.43,89,-89,0.0,0.0,0.0005,0.5444555444555444
0.02,-0.02,3.68,0.8958292078938495,0.51,90,-90,0.0,0.0,0.0005,0.5413260672116258
0.0,0.0,3.65,0.886915114855721,0.5,90,-90,0.0,0.0,0.0005,0.5378850957535387
0.06,-0.06,3.78,0.8780897229382887,0.53,96,-96,0.0,0.0,0.0005,0.5372790161414297
-0.1,0.1,3.75,0.8693521495067424,0.45,86,-86,0.0,0.0,0.0005,0.5310492505353319
0.0,0.0,3.79,0.8607015207090729,0.5,88,-88,0.0,0.0,0.0005,0.5289806795469687
-0.04,0.04,3.77,0.8521369713886755,0.48,84,-84,0.0,0.0,0.0005,0.5259212991880075
