avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,0.0005,0.0
-0.54,0.54,4.68,0.9900493386913721,0.23,-53,53,0.0,0.0,0.0005,0.22772277227722773
-0.78,0.78,4.36,0.980197693043223,0.11,-131,131,0.0,0.0,0.0005,0.1691542288557214
-0.84,0.84,4.34,0.970444077784251,0.08,-215,215,0.0,0.0,0.0005,0.13953488372093023
-0.66,0.66,4.93,0.9607875174472562,0.17,-281,281,0.0,0.0,0.0005,0.14713216957605985
-0.72,0.72,4.1,0.9512270462715811,0.14,-355,355,0.0,0.0,0.0005,0.14570858283433133
-0.74,0.74,4.31,0.9417617081065252,0.13,-427,427,0.0,0.0,0.0005,0.14309484193011648
-0.72,0.72,4.6,0.9323905563157222,0.14,-499,499,0.0,0.0,0.0005,0.14265335235378032
-0.74,0.74,4.25,0.9231126536824614,0.13,-575,575,0.0,0.0,0.0005,0.14107365792759052
-0.8,0.8,4.08,0.9139270723159584,0.1,-653,653,0.0,0.0,0.0005,0.1365149833518313
-0.84,0.84,4.29,0.9048328935585562,0.08,-737,737,0.0,0.0,0.0005,0.13086913086913088
-0.74,0.74,4.48,0.8958292078938495,0.13,-810,810,0.0,0.0,0.0005,0.1307901907356948
-0.78,0.78,4.25,0.886915114855721,0.11,-888,888,0.0,0.0,0.0005,0.12905911740216486
-0.76,0.76,4.2,0.8780897229382887,0.12,-964,964,0.0,0.0,0.0005,0.12836279784780938
-0.74,0.74,4.58,0.8693521495067424,0.13,-1038,1038,0.0,0.0,0.0005,0.1284796573875803
-0.66,0.66,5.58,0.8607015207090729,0.17,-1104,1104,0.0,0.0,0.0005,0.1312458361092605
-0.74,0.74,4.57,0.8521369713886755,0.13,-1178,1178,0.0,0.0,0.0005,0.1311680199875078
-0.74,0.74,4.61,0.843657644997827,0.13,-1252,1252,0.0,0.0,0.0005,0.13109935332157555
-0.84,0.84,4.1,0.8352626935120188,0.08,-1336,1336,0.0,0.0,0.0005,0.12826207662409772
-0.72,0.72,4.89,0.8269512773451482,0.14,-1408,1408,0.0,0.0,0.0005,0.12887953708574434
-0.58,0.58,4.95,0.8187225652655491,0.21,-1466,1466,0.0,0.0,0.0005,0.1329335332333833
-0.7,0.7,4.47,0.8105757343128605,0.15,-1537,1537,0.0,0.0,0.0005,0.13374583531651593
-0.82,0.82,4.48,0.8025099697157205,0.09,-1617,1617,0.0,0.0,0.0005,0.13175829168559747
