avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.2,6.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
0.82,-1.0505,6.58,0.9900493386913721,0.91,81,-103.75000000000006,0.0,0.0,0.0005,0.9108910891089109
0.8,-1.035,6.67,0.980197693043223,0.9,161,-207.24999999999994,0.0,0.0,0.0005,0.9054726368159204
0.7,-0.9315000000000001,6.58,0.970444077784251,0.85,231,-300.4999999999998,0.0,0.0,0.0005,0.8870431893687708
0.78,-1.021,6.78,0.9607875174472562,0.89,309,-402.39999999999964,0.0,0.0,0.0005,0.8877805486284289
0.82,-1.0635,6.83,0.9512270462715811,0.91,391,-508.8999999999995,0.0,0.0,0.0005,0.8922155688622755
0.84,-1.0875,6.92,0.9417617081065252,0.92,475,-617.6500000000001,0.0,0.0,0.0005,0.8968386023294509
0.8,-1.0424999999999998,6.79,0.9323905563157222,0.9,555,-721.8500000000009,0.0,0.0,0.0005,0.8972895863052782
0.86,-1.1085,6.95,0.9231126536824614,0.93,641,-832.7000000000021,0.0,0.0,0.0005,0.9013732833957553
0.72,-0.9785,7.13,0.9139270723159584,0.86,713,-930.6500000000021,0.0,0.0,0.0005,0.8967813540510544
0.74,-0.9985,7.13,0.9048328935585562,0.87,787,-1030.5000000000025,0.0,0.0,0.0005,0.8941058941058941
0.82,-1.079,7.12,0.8958292078938495,0.91,868,-1137.0500000000022,0.0,0.0,0.0005,0.8955495004541326
0.74,-1.003,7.24,0.886915114855721,0.87,942,-1237.400000000002,0.0,0.0,0.0005,0.8934221482098251
0.72,-0.9775,7.08,0.8780897229382887,0.86,1014,-1335.2000000000003,0.0,0.0,0.0005,0.8908531898539584
0.74,-1.02,7.55,0.8693521495067424,0.87,1088,-1437.1999999999994,0.0,0.0,0.0005,0.8893647394718058
0.8,-1.071,7.35,0.8607015207090729,0.9,1168,-1544.199999999998,0.0,0.0,0.0005,0.8900732844770153
0.86,-1.1375,7.52,0.8521369713886755,0.93,1254,-1657.9999999999977,0.0,0.0,0.0005,0.8925671455340413
0.68,-0.9575000000000001,7.49,0.843657644997827,0.84,1322,-1753.649999999997,0.0,0.0,0.0005,0.8894767783656673
0.7,-0.9629999999999999,7.2,0.8352626935120188,0.85,1392,-1850.0499999999959,0.0,0.0,0.0005,0.8872848417545808
0.72,-0.9904999999999999,7.35,0.8269512773451482,0.86,1464,-1948.9499999999948,0.0,0.0,0.0005,0.8858495528669121
0.78,-1.0830000000000002,8.04,0.8187225652655491,0.89,1544,-2059.499999999995,0.0,0.0,0.0005,0.8860569715142429
0.78,-1.085,8.1,0.8105757343128605,0.89,1621,-2166.599999999997,0.0,0.0,0.0005,0.886244645406949
0.7,-0.985,7.67,0.8025099697157205,0.85,1691,-2265.2499999999986,0.0,0.0,0.0005,0.8845979100408905
0.68,-1.015,8.78,0.7945244648102819,0.84,1759,-2366.7000000000003,0.0,0.0,0.0005,0.8826597131681877
0.66,-0.959,7.95,0.7866184209595359,0.83,1827,-2464.8000000000015,0.0,0.0,0.0005,0.880466472303207
0.8,-1.1365,8.75,0.7787910474734399,0.9,1905,-2576.3500000000013,0.0,0.0,0.0005,0.8812475009996001
0.62,-0.919,7.9,0.7710415615298397,0.81,1967,-2668.050000000002,0.0,0.0,0.0005,0.8785082660515187
0.7,-1.0114999999999998,8.2,0.7633691880961806,0.85,2039,-2771.350000000003,0.0,0.0,0.0005,0.8774527952610144
0.68,-0.9915,8.21,0.7557731598519929,0.84,2105,-2868.400000000002,0.0,0.0,0.0005,0.8761156729739379
0.46,-0.774,8.24,0.748252717112154,0.73,2151,-2945.750000000003,0.0,0.0,0.0005,0.8710789382971389
0.76,-1.107,8.96,0.74080710775091,0.88,2227,-3056.500000000005,0.0,0.0,0.0005,0.8713762079306898
0.54,-0.8785,8.81,0.7334355871266565,0.77,2280,-3143.0000000000045,0.0,0.0,0.0005,0.8681070622379877
0.72,-1.0445,8.43,0.7261374180074647,0.86,2352,-3247.3500000000045,0.0,0.0,0.0005,0.8678537956888472
0.74,-1.0770000000000002,8.75,0.7189118704973512,0.87,2426,-3355.3000000000043,0.0,0.0,0.0005,0.8679188124810664
0.58,-0.9335,9.15,0.7117582219632792,0.79,2484,-3448.650000000004,0.0,0.0,0.0005,0.8656277565421935
0.52,-0.8810000000000001,9.47,0.7046757569628911,0.76,2536,-3536.5000000000064,0.0,0.0,0.0005,0.8626106826620965
0.72,-1.104,9.84,0.697663767172952,0.86,2610,-3649.150000000006,0.0,0.0,0.0005,0.8625381838378229
0.58,-0.9279999999999998,9.04,0.6907215513185129,0.79,2666,-3739.6500000000046,0.0,0.0,0.0005,0.8605782221021345
0.5,-0.8439999999999999,8.85,0.6838484151027725,0.75,2716,-3824.150000000004,0.0,0.0,0.0005,0.8576690344646146
0.66,-1.025,9.41,0.6770436711376424,0.83,2782,-3926.650000000004,0.0,0.0,0.0005,0.856959753909254
0.72,-1.1269999999999998,10.46,0.6703066388750015,0.86,2854,-4039.350000000005,0.0,0.0,0.0005,0.8570357410647338
0.72,-1.115,10.07,0.6636366445386316,0.86,2925,-4149.300000000005,0.0,0.0,0.0005,0.8571080224335528
0.62,-1.0155,10.22,0.657033021056833,0.81,2987,-4251.0500000000075,0.0,0.0,0.0005,0.8559866698405142
0.56,-0.9490000000000001,9.91,0.6504951079957114,0.78,3045,-4348.1500000000115,0.0,0.0,0.0005,0.8542199488491049
0.64,-1.036,10.15,0.6440222514931265,0.82,3107,-4449.450000000012,0.0,0.0,0.0005,0.8534423994546694
0.68,-1.083,10.34,0.6376138041932984,0.84,3175,-4557.800000000012,0.0,0.0,0.0005,0.853143745834259
0.64,-1.067,11.09,0.6312691251820646,0.82,3239,-4664.4000000000115,0.0,0.0,0.0005,0.8524233862203868
0.64,-1.0565000000000002,10.73,0.6249875799227835,0.82,3303,-4770.250000000007,0.0,0.0,0.0005,0.8517336736864497
0.36,-0.7290000000000001,9.68,0.6187685401928729,0.68,3339,-4842.950000000012,0.0,0.0,0.0005,0.8481566340345761
0.56,-0.9660000000000001,10.68,0.6126113840209793,0.78,3395,-4939.750000000014,0.0,0.0,0.0005,0.8467659661293614
0.46,-0.862,10.44,0.6065154956247766,0.73,3441,-5026.000000000014,0.0,0.0,0.0005,0.8444311137772446
0.54,-0.965,11.04,0.6004802653493791,0.77,3494,-5120.65000000001,0.0,0.0,0.0005,0.8429719662811214
0.52,-0.9765,11.94,0.594505089606372,0.76,3548,-5220.850000000007,0.0,0.0,0.0005,0.8413766583349356
0.46,-0.8590000000000001,10.48,0.5885893708134431,0.73,3592,-5304.3000000000075,0.0,0.0,0.0005,0.8392756083757782
0.6,-1.063,12.16,0.5827325173346204,0.8,3652,-5410.95000000001,0.0,0.0,0.0005,0.8385484169598223
0.54,-0.971,11.3,0.5769339434210992,0.77,3706,-5507.95000000001,0.0,0.0,0.0005,0.8373023086711507
0.7,-1.1329999999999998,11.4,0.5711930691526644,0.85,3776,-5621.150000000015,0.0,0.0,0.0005,0.8375290126763077
0.68,-1.1455000000000002,12.3,0.565509320379691,0.84,3844,-5735.8000000000175,0.0,0.0,0.0005,0.8375723557270655
0.46,-0.9219999999999999,12.0,0.5598821286657205,0.73,3890,-5828.050000000018,0.0,0.0,0.0005,0.8357179796586796
0.52,-0.9689999999999999,12.0,0.5543109312306146,0.76,3942,-5925.10000000002,0.0,0.0,0.0005,0.8344348415522793
0.52,-0.9635000000000001,11.8,0.5487951708942683,0.76,3994,-6021.450000000018,0.0,0.0,0.0005,0.8331944675887352
0.52,-1.0055,12.97,0.5433342960208886,0.76,4045,-6120.400000000021,0.0,0.0,0.0005,0.8319947549582035
0.46,-0.8989999999999999,11.81,0.5379277604638235,0.73,4093,-6212.500000000019,0.0,0.0,0.0005,0.8303499435574907
0.54,-0.9844999999999999,11.77,0.5325750235109391,0.77,4145,-6309.00000000002,0.0,0.0,0.0005,0.8293921599746072
0.54,-1.0255,12.81,0.5272755498305473,0.77,4201,-6413.300000000017,0.0,0.0,0.0005,0.8284643024527417
0.58,-1.028,11.57,0.5220288094178624,0.79,4257,-6514.350000000018,0.0,0.0,0.0005,0.8278726349792339
0.38,-0.8265,12.07,0.5168342775419988,0.69,4297,-6599.350000000013,0.0,0.0,0.0005,0.8257839721254355
0.58,-1.0545,12.7,0.5116914346934888,0.79,4353,-6702.300000000009,0.0,0.0,0.0005,0.8252499626921355
0.42,-0.879,12.89,0.506599766532328,0.71,4395,-6789.900000000009,0.0,0.0,0.0005,0.823555359505955
0.54,-0.9775,11.68,0.5015587638365347,0.77,4449,-6888.15000000001,0.0,0.0,0.0005,0.8227793073467613
0.42,-0.9030000000000001,13.26,0.496567922451223,0.71,4491,-6978.350000000006,0.0,0.0,0.0005,0.8211684045136409
0.44,-0.9365000000000002,13.56,0.4916267432381818,0.72,4534,-7070.600000000003,0.0,0.0,0.0005,0.8197436980706942
0.68,-1.172,13.63,0.4867347320259549,0.84,4602,-7187.450000000001,0.0,0.0,0.0005,0.82002499652826
0.58,-1.0835000000000001,13.79,0.48189139956041893,0.79,4660,-7295.95,0.0,0.0,0.0005,0.8196137515408848
0.44,-0.9095000000000002,13.2,0.4770962614558525,0.72,4704,-7386.849999999999,0.0,0.0,0.0005,0.8182678016484259
0.62,-1.1350000000000002,14.25,0.4723488381464926,0.81,4766,-7500.699999999999,0.0,0.0,0.0005,0.8181575789894681
0.54,-1.003,12.91,0.467648654838573,0.77,4820,-7600.9,0.0,0.0,0.0005,0.8175240099986844
0.32,-0.826,14.14,0.46299524146283894,0.66,4854,-7685.449999999998,0.0,0.0,0.0005,0.8154785092845085
0.46,-0.9590000000000001,14.1,0.4583881326275357,0.73,4898,-7779.3499999999985,0.0,0.0,0.0005,0.8143827714395591
0.46,-0.9189999999999999,13.09,0.45382686757186447,0.73,4944,-7870.899999999999,0.0,0.0,0.0005,0.8133147702822427
0.44,-0.9500000000000003,14.47,0.4493109901199013,0.72,4988,-7966.0499999999965,0.0,0.0,0.0005,0.81214848143982
0.28,-0.737,13.01,0.44484004863497356,0.64,5017,-8040.699999999996,0.0,0.0,0.0005,0.810023453894581
0.5,-1.0120000000000002,14.38,0.4404135959744933,0.75,5067,-8141.699999999995,0.0,0.0,0.0005,0.8092915498109987
0.24,-0.7245000000000001,13.98,0.4360311894452362,0.62,5089,-8211.849999999995,0.0,0.0,0.0005,0.8070112034694615
0.38,-0.8859999999999999,14.69,0.4316923907590687,0.69,5129,-8302.649999999989,0.0,0.0,0.0005,0.8056183787644328
0.32,-0.7869999999999999,13.39,0.42739676598911336,0.66,5161,-8381.349999999986,0.0,0.0,0.0005,0.8039054228914245
0.5,-0.997,14.61,0.42314388552635285,0.75,5209,-8478.699999999992,0.0,0.0,0.0005,0.8032786885245902
0.36,-0.8435000000000001,14.02,0.4189333240366638,0.68,5247,-8565.299999999988,0.0,0.0,0.0005,0.8018618549592
0.44,-0.9215000000000001,14.19,0.41476466041827703,0.72,5289,-8655.34999999999,0.0,0.0,0.0005,0.8009317123054198
0.48,-0.9905000000000002,14.74,0.41063747775966636,0.74,5339,-8756.549999999992,0.0,0.0,0.0005,0.8002471632400854
0.44,-0.944,14.86,0.4065513632978508,0.72,5381,-8848.449999999993,0.0,0.0,0.0005,0.7993556271525386
0.5,-0.9995,15.09,0.40250590837711264,0.75,5432,-8948.999999999989,0.0,0.0,0.0005,0.7988133172178882
0.48,-1.0124999999999997,16.12,0.39850070840813034,0.74,5478,-9048.299999999994,0.0,0.0,0.0005,0.7981741115096185
0.4,-0.9099999999999998,15.06,0.39453536282751267,0.7,5518,-9139.29999999999,0.0,0.0,0.0005,0.7971185893989894
0.44,-0.9470000000000001,14.91,0.3906094750577395,0.72,5562,-9233.699999999995,0.0,0.0,0.0005,0.7962982661418998
0.42,-0.9060000000000001,15.02,0.3867226524674988,0.71,5606,-9326.799999999994,0.0,0.0,0.0005,0.7953899589516893
