avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.0,9.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
-0.78,0.78,4.5,0.9900493386913721,0.11,-77,77,0.0,0.0,0.0005,0.1188118811881188
-0.84,0.84,4.06,0.980197693043223,0.08,-163,163,0.0,0.0,0.0005,0.09950248756218906
-0.78,0.78,4.25,0.970444077784251,0.11,-239,239,0.0,0.0,0.0005,0.10299003322259136
-0.68,0.68,4.78,0.9607875174472562,0.16,-309,309,0.0,0.0,0.0005,0.1172069825436409
-0.7,0.7,4.53,0.9512270462715811,0.15,-377,377,0.0,0.0,0.0005,0.12375249500998003
-0.66,0.66,5.16,0.9417617081065252,0.17,-445,445,0.0,0.0,0.0005,0.1314475873544093
-0.62,0.62,5.21,0.9323905563157222,0.19,-505,505,0.0,0.0,0.0005,0.1398002853067047
-0.82,0.82,4.19,0.9231126536824614,0.09,-587,587,0.0,0.0,0.0005,0.13358302122347065
-0.6,0.6,4.76,0.9139270723159584,0.2,-647,647,0.0,0.0,0.0005,0.14095449500554938
-0.7,0.7,4.56,0.9048328935585562,0.15,-719,719,0.0,0.0,0.0005,0.14185814185814186
-0.48,0.48,4.66,0.8958292078938495,0.26,-766,766,0.0,0.0,0.0005,0.15258855585831063
-0.78,0.78,4.51,0.886915114855721,0.11,-844,844,0.0,0.0,0.0005,0.14904246461282264
-0.62,0.62,4.19,0.8780897229382887,0.19,-906,906,0.0,0.0,0.0005,0.15219062259800153
-0.68,0.68,4.59,0.8693521495067424,0.16,-974,974,0.0,0.0,0.0005,0.15274803711634546
-0.76,0.76,4.64,0.8607015207090729,0.12,-1050,1050,0.0,0.0,0.0005,0.15056628914057296
-0.7,0.7,4.86,0.8521369713886755,0.15,-1120,1120,0.0,0.0,0.0005,0.15053091817613992
-0.7,0.7,4.42,0.843657644997827,0.15,-1190,1190,0.0,0.0,0.0005,0.1504997060552616
-0.76,0.76,4.8,0.8352626935120188,0.12,-1266,1266,0.0,0.0,0.0005,0.14880621876735148
-0.74,0.74,4.55,0.8269512773451482,0.13,-1340,1340,0.0,0.0,0.0005,0.14781693845344557
-0.84,0.84,4.39,0.8187225652655491,0.08,-1424,1424,0.0,0.0,0.0005,0.14442778610694654
-0.7,0.7,4.8,0.8105757343128605,0.15,-1493,1493,0.0,0.0,0.0005,0.14469300333174678
-0.76,0.76,4.77,0.8025099697157205,0.12,-1571,1571,0.0,0.0,0.0005,0.14357110404361653
-0.66,0.66,4.69,0.7945244648102819,0.17,-1635,1635,0.0,0.0,0.0005,0.14471968709256844
-0.62,0.62,4.8,0.7866184209595359,0.19,-1697,1697,0.0,0.0,0.0005,0.14660558100791338
-0.5,0.5,4.77,0.7787910474734399,0.25,-1747,1747,0.0,0.0,0.0005,0.15073970411835266
-0.72,0.72,4.74,0.7710415615298397,0.14,-1819,1819,0.0,0.0,0.0005,0.1503267973856209
-0.8,0.8,4.17,0.7633691880961806,0.1,-1899,1899,0.0,0.0,0.0005,0.14846353202517587
-0.6,0.6,5.29,0.7557731598519929,0.2,-1959,1959,0.0,0.0,0.0005,0.1503034630489111
-0.64,0.64,4.37,0.748252717112154,0.18,-2025,2025,0.0,0.0,0.0005,0.15132712857635297
-0.76,0.76,4.99,0.74080710775091,0.12,-2101,2101,0.0,0.0,0.0005,0.15028323892035989
-0.68,0.68,5.03,0.7334355871266565,0.16,-2168,2168,0.0,0.0,0.0005,0.15059658174782328
-0.66,0.66,5.15,0.7261374180074647,0.17,-2234,2234,0.0,0.0,0.0005,0.15120274914089346
-0.8,0.8,4.41,0.7189118704973512,0.1,-2314,2314,0.0,0.0,0.0005,0.14965162072099364
-0.76,0.76,4.08,0.7117582219632792,0.12,-2390,2390,0.0,0.0,0.0005,0.1487797706556895
-0.7,0.7,4.11,0.7046757569628911,0.15,-2460,2460,0.0,0.0,0.0005,0.14881462439303056
-0.68,0.68,4.65,0.697663767172952,0.16,-2528,2528,0.0,0.0,0.0005,0.14912524298805888
-0.56,0.56,4.74,0.6907215513185129,0.22,-2584,2584,0.0,0.0,0.0005,0.15104025938935423
-0.7,0.7,4.36,0.6838484151027725,0.15,-2654,2654,0.0,0.0,0.0005,0.15101289134438306
-0.76,0.76,4.74,0.6770436711376424,0.12,-2730,2730,0.0,0.0,0.0005,0.1502178928479877
-0.7,0.7,4.9,0.6703066388750015,0.15,-2800,2800,0.0,0.0,0.0005,0.15021244688827792
-0.66,0.66,4.72,0.6636366445386316,0.17,-2865,2865,0.0,0.0,0.0005,0.1506949524506218
-0.66,0.66,4.66,0.657033021056833,0.17,-2933,2933,0.0,0.0,0.0005,0.15115448702689835
-0.7,0.7,4.78,0.6504951079957114,0.15,-3001,3001,0.0,0.0,0.0005,0.15112764473378285
-0.78,0.78,4.31,0.6440222514931265,0.11,-3079,3079,0.0,0.0,0.0005,0.15019313792319927
-0.66,0.66,4.86,0.6376138041932984,0.17,-3145,3145,0.0,0.0,0.0005,0.15063319262386135
-0.62,0.62,4.67,0.6312691251820646,0.19,-3209,3209,0.0,0.0,0.0005,0.15148880678113455
-0.64,0.64,4.78,0.6249875799227835,0.18,-3271,3271,0.0,0.0,0.0005,0.1520952988725803
-0.66,0.66,4.86,0.6187685401928729,0.17,-3337,3337,0.0,0.0,0.0005,0.15246823578421162
-0.76,0.76,4.53,0.6126113840209793,0.12,-3413,3413,0.0,0.0,0.0005,0.15180575392776985
-0.8,0.8,4.52,0.6065154956247766,0.1,-3493,3493,0.0,0.0,0.0005,0.15076984603079385
-0.66,0.66,4.86,0.6004802653493791,0.17,-3558,3558,0.0,0.0,0.0005,0.15114683395412665
-0.6,0.6,5.26,0.594505089606372,0.2,-3618,3618,0.0,0.0,0.0005,0.15208613728129206
-0.62,0.62,4.7,0.5885893708134431,0.19,-3680,3680,0.0,0.0,0.0005,0.15280135823429541
-0.54,0.54,4.78,0.5827325173346204,0.23,-3734,3734,0.0,0.0,0.0005,0.1542306980188854
-0.7,0.7,4.52,0.5769339434210992,0.15,-3804,3804,0.0,0.0,0.0005,0.15415379021996
-0.6,0.6,4.66,0.5711930691526644,0.2,-3864,3864,0.0,0.0,0.0005,0.154972326370291
-0.66,0.66,4.76,0.565509320379691,0.17,-3930,3930,0.0,0.0,0.0005,0.1552359235221891
-0.74,0.74,4.55,0.5598821286657205,0.13,-4004,4004,0.0,0.0,0.0005,0.1548008963971729
-0.74,0.74,4.9,0.5543109312306146,0.13,-4078,4078,0.0,0.0,0.0005,0.15438061345534654
-0.64,0.64,4.46,0.5487951708942683,0.18,-4142,4142,0.0,0.0,0.0005,0.154807532077987
-0.68,0.68,3.98,0.5433342960208886,0.16,-4209,4209,0.0,0.0,0.0005,0.15489264055072938
-0.74,0.74,4.31,0.5379277604638235,0.13,-4283,4283,0.0,0.0,0.0005,0.15449121109498468
-0.66,0.66,4.23,0.5325750235109391,0.17,-4349,4349,0.0,0.0,0.0005,0.15473734327884464
-0.62,0.62,4.8,0.5272755498305473,0.19,-4411,4411,0.0,0.0,0.0005,0.1552882362130917
-0.66,0.66,4.6,0.5220288094178624,0.17,-4477,4477,0.0,0.0,0.0005,0.15551453622519612
-0.72,0.72,4.63,0.5168342775419988,0.14,-4549,4549,0.0,0.0,0.0005,0.15527950310559005
-0.66,0.66,4.2,0.5116914346934888,0.17,-4615,4615,0.0,0.0,0.0005,0.15549917922698106
-0.68,0.68,4.2,0.506599766532328,0.16,-4683,4683,0.0,0.0,0.0005,0.155565358035583
-0.84,0.84,4.65,0.5015587638365347,0.08,-4767,4767,0.0,0.0,0.0005,0.15447036661353428
-0.82,0.82,4.01,0.496567922451223,0.09,-4849,4849,0.0,0.0,0.0005,0.15354949292958148
-0.64,0.64,4.7,0.4916267432381818,0.18,-4912,4912,0.0,0.0,0.0005,0.15392198281932123
-0.68,0.68,4.11,0.4867347320259549,0.16,-4980,4980,0.0,0.0,0.0005,0.15400638800166644
-0.5,0.5,4.9,0.48189139956041893,0.25,-5030,5030,0.0,0.0,0.0005,0.15532118887823587
-0.58,0.58,4.8,0.4770962614558525,0.21,-5088,5088,0.0,0.0,0.0005,0.15605999189298744
-0.42,0.42,5.19,0.4723488381464926,0.29,-5132,5132,0.0,0.0,0.0005,0.15784562058392215
-0.76,0.76,4.61,0.467648654838573,0.12,-5206,5206,0.0,0.0,0.0005,0.15734771740560452
-0.76,0.76,4.25,0.46299524146283894,0.12,-5282,5282,0.0,0.0,0.0005,0.1568627450980392
-0.7,0.7,4.7,0.4583881326275357,0.15,-5352,5352,0.0,0.0,0.0005,0.15677477246506857
-0.7,0.7,4.9,0.45382686757186447,0.15,-5422,5422,0.0,0.0,0.0005,0.15668902670548032
-0.64,0.64,4.43,0.4493109901199013,0.18,-5486,5486,0.0,0.0,0.0005,0.1569803774528184
-0.62,0.62,4.45,0.44484004863497356,0.19,-5547,5547,0.0,0.0,0.0005,0.15738797679298852
-0.74,0.74,4.62,0.4404135959744933,0.13,-5621,5621,0.0,0.0,0.0005,0.15705401780270697
-0.78,0.78,4.96,0.4360311894452362,0.11,-5699,5699,0.0,0.0,0.0005,0.15648717022045536
-0.66,0.66,4.39,0.4316923907590687,0.17,-5765,5765,0.0,0.0,0.0005,0.15664801809308415
-0.66,0.66,4.82,0.42739676598911336,0.17,-5831,5831,0.0,0.0,0.0005,0.15680508175508764
-0.54,0.54,4.59,0.42314388552635285,0.23,-5887,5887,0.0,0.0,0.0005,0.1576560865015696
-0.72,0.72,4.65,0.4189333240366638,0.14,-5959,5959,0.0,0.0,0.0005,0.15745316630272382
-0.84,0.84,4.62,0.41476466041827703,0.08,-6041,6041,0.0,0.0,0.0005,0.15657311669128507
-0.56,0.56,4.9,0.41063747775966636,0.22,-6097,6097,0.0,0.0,0.0005,0.15728569823615324
-0.64,0.64,4.71,0.4065513632978508,0.18,-6161,6161,0.0,0.0,0.0005,0.15753805132763027
-0.7,0.7,5.3,0.40250590837711264,0.15,-6230,6230,0.0,0.0,0.0005,0.15745522470058235
-0.66,0.66,4.15,0.39850070840813034,0.17,-6296,6296,0.0,0.0,0.0005,0.15759156613411585
-0.66,0.66,4.44,0.39453536282751267,0.17,-6364,6364,0.0,0.0,0.0005,0.1577249758090528
-0.66,0.66,4.05,0.3906094750577395,0.17,-6428,6428,0.0,0.0,0.0005,0.15785554728220402
-0.72,0.72,4.66,0.3867226524674988,0.14,-6500,6500,0.0,0.0,0.0005,0.15766761393537523
-0.58,0.58,4.72,0.38287450633242015,0.21,-6558,6558,0.0,0.0,0.0005,0.15821268617852308
-0.78,0.78,4.93,0.3790646517961982,0.11,-6636,6636,0.0,0.0,0.0005,0.15771569941243171
-0.74,0.74,4.31,0.375292707832101,0.13,-6710,6710,0.0,0.0,0.0005,0.1574329150086726
