avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-2.0,7.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
0.06,-0.8420000000000002,5.19,0.9900493386913721,0.53,7,-83.99999999999997,0.0,0.0,0.0005,0.5346534653465347
0.12,-0.904,5.23,0.980197693043223,0.56,17,-172.60000000000005,0.0,0.0,0.0005,0.5472636815920398
0.08,-0.818,4.94,0.970444077784251,0.54,27,-257.0000000000002,0.0,0.0,0.0005,0.5448504983388704
0.18,-0.9960000000000001,5.5,0.9607875174472562,0.59,43,-353.6000000000004,0.0,0.0,0.0005,0.5561097256857855
0.1,-0.862,5.12,0.9512270462715811,0.55,53,-440.0000000000007,0.0,0.0,0.0005,0.5548902195608783
-0.02,-0.8260000000000001,5.5,0.9417617081065252,0.49,53,-525.4000000000008,0.0,0.0,0.0005,0.5440931780366056
-0.16,-0.634,5.12,0.9323905563157222,0.42,37,-589.0000000000005,0.0,0.0,0.0005,0.5263908701854494
0.08,-0.9180000000000001,5.51,0.9231126536824614,0.54,45,-680.5999999999999,0.0,0.0,0.0005,0.5280898876404494
-0.02,-0.83,5.48,0.9139270723159584,0.49,41,-760.9999999999999,0.0,0.0,0.0005,0.5238623751387348
0.04,-0.8739999999999999,5.45,0.9048328935585562,0.52,47,-850.5999999999991,0.0,0.0,0.0005,0.5234765234765235
0.0,-0.8580000000000001,5.54,0.8958292078938495,0.5,48,-936.9999999999991,0.0,0.0,0.0005,0.5213442325158947
-0.04,-0.8219999999999998,5.57,0.886915114855721,0.48,44,-1018.5999999999992,0.0,0.0,0.0005,0.517901748542881
0.02,-0.95,5.93,0.8780897229382887,0.51,44,-1111.2,0.0,0.0,0.0005,0.5172943889315911
0.32,-1.1380000000000001,5.55,0.8693521495067424,0.66,78,-1227.9999999999995,0.0,0.0,0.0005,0.5274803711634547
0.26,-1.104,5.66,0.8607015207090729,0.63,102,-1335.7999999999997,0.0,0.0,0.0005,0.5343104596935376
0.04,-0.8839999999999999,5.5,0.8521369713886755,0.52,106,-1424.200000000001,0.0,0.0,0.0005,0.5334166146158651
0.02,-0.884,5.58,0.843657644997827,0.51,110,-1515.4000000000017,0.0,0.0,0.0005,0.5320399764844209
-0.02,-0.7440000000000001,5.06,0.8352626935120188,0.49,108,-1589.6000000000013,0.0,0.0,0.0005,0.529705719044975
-0.02,-0.794,5.32,0.8269512773451482,0.49,104,-1666.4000000000012,0.0,0.0,0.0005,0.527617043661231
-0.22,-0.7180000000000001,5.85,0.8187225652655491,0.39,82,-1737.8000000000013,0.0,0.0,0.0005,0.5207396301849075
-0.12,-0.7239999999999999,5.37,0.8105757343128605,0.44,69,-1808.400000000002,0.0,0.0,0.0005,0.5168967158495954
-0.02,-0.786,5.27,0.8025099697157205,0.49,67,-1886.8000000000015,0.0,0.0,0.0005,0.5156746933212176
-0.08,-0.644,4.79,0.7945244648102819,0.46,59,-1951.2000000000012,0.0,0.0,0.0005,0.5132551064754455
0.24,-1.14,5.99,0.7866184209595359,0.62,83,-2065.200000000002,0.0,0.0,0.0005,0.5177009579341941
0.1,-0.8820000000000001,5.21,0.7787910474734399,0.55,95,-2156.2000000000053,0.0,0.0,0.0005,0.5189924030387845
0.24,-1.07,5.63,0.7710415615298397,0.62,117,-2260.4000000000106,0.0,0.0,0.0005,0.5228758169934641
-0.06,-0.7839999999999999,5.45,0.7633691880961806,0.47,111,-2339.00000000001,0.0,0.0,0.0005,0.520918178452425
0.08,-0.884,5.32,0.7557731598519929,0.54,119,-2427.4000000000137,0.0,0.0,0.0005,0.5215994287754373
