avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.25,7.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
0.88,-1.1149999999999998,6.68,0.9900493386913721,0.94,87,-110.25000000000003,0.0,0.0,0.0005,0.9405940594059405
0.78,-1.0019999999999998,6.39,0.980197693043223,0.89,165,-210.44999999999965,0.0,0.0,0.0005,0.9154228855721394
0.76,-0.9889999999999999,6.55,0.970444077784251,0.88,241,-309.29999999999933,0.0,0.0,0.0005,0.9036544850498339
0.72,-0.9624999999999999,6.81,0.9607875174472562,0.86,313,-405.5999999999993,0.0,0.0,0.0005,0.8927680798004988
0.86,-1.1125,7.02,0.9512270462715811,0.93,399,-516.6999999999992,0.0,0.0,0.0005,0.9001996007984032
0.8,-1.0514999999999999,6.99,0.9417617081065252,0.9,479,-621.9499999999997,0.0,0.0,0.0005,0.9001663893510815
0.88,-1.1440000000000001,7.24,0.9323905563157222,0.94,567,-736.4499999999997,0.0,0.0,0.0005,0.905848787446505
0.7,-0.9564999999999999,7.08,0.9231126536824614,0.85,639,-834.1999999999996,0.0,0.0,0.0005,0.898876404494382
0.64,-0.8769999999999999,6.65,0.9139270723159584,0.82,701,-919.7500000000003,0.0,0.0,0.0005,0.8901220865704772
0.72,-0.958,6.68,0.9048328935585562,0.86,773,-1015.6000000000008,0.0,0.0,0.0005,0.8871128871128872
0.72,-0.981,7.15,0.8958292078938495,0.86,844,-1112.4000000000008,0.0,0.0,0.0005,0.8846503178928247
0.82,-1.0739999999999998,7.05,0.886915114855721,0.91,926,-1219.8500000000006,0.0,0.0,0.0005,0.8867610324729392
0.7,-0.9794999999999999,7.54,0.8780897229382887,0.85,996,-1317.65,0.0,0.0,0.0005,0.883935434281322
0.74,-1.0105,7.37,0.8693521495067424,0.87,1072,-1420.8999999999996,0.0,0.0,0.0005,0.8829407566024269
0.8,-1.0724999999999998,7.43,0.8607015207090729,0.9,1150,-1526.0499999999997,0.0,0.0,0.0005,0.8840772818121253
0.76,-1.047,7.71,0.8521369713886755,0.88,1226,-1630.7999999999988,0.0,0.0,0.0005,0.8838226108682073
0.74,-1.016,7.51,0.843657644997827,0.87,1300,-1732.449999999999,0.0,0.0,0.0005,0.8830099941211053
0.7,-0.9710000000000001,7.36,0.8352626935120188,0.85,1372,-1831.5999999999972,0.0,0.0,0.0005,0.8811771238200999
0.82,-1.1245,8.11,0.8269512773451482,0.91,1452,-1941.9499999999964,0.0,0.0,0.0005,0.8826933193056287
0.7,-0.9839999999999999,7.62,0.8187225652655491,0.85,1522,-2040.2499999999955,0.0,0.0,0.0005,0.8810594702648675
0.82,-1.1284999999999998,8.15,0.8105757343128605,0.91,1603,-2151.849999999997,0.0,0.0,0.0005,0.8824369347929557
0.74,-1.0495,8.15,0.8025099697157205,0.87,1677,-2256.4999999999977,0.0,0.0,0.0005,0.8818718764198091
0.82,-1.12,7.98,0.7945244648102819,0.91,1759,-2368.5999999999995,0.0,0.0,0.0005,0.8830943068231204
0.72,-1.0345,8.25,0.7866184209595359,0.86,1831,-2472.300000000001,0.0,0.0,0.0005,0.8821324448146606
0.78,-1.0979999999999999,8.36,0.7787910474734399,0.89,1909,-2581.850000000001,0.0,0.0,0.0005,0.8824470211915234
0.76,-1.0985,8.76,0.7710415615298397,0.88,1987,-2694.149999999999,0.0,0.0,0.0005,0.8823529411764706
0.78,-1.1079999999999999,8.55,0.7633691880961806,0.89,2063,-2802.7500000000005,0.0,0.0,0.0005,0.8826360607182525
0.66,-0.9954999999999999,8.74,0.7557731598519929,0.83,2129,-2902.300000000001,0.0,0.0,0.0005,0.8807568725455195
0.82,-1.151,8.63,0.748252717112154,0.91,2211,-3017.200000000003,0.0,0.0,0.0005,0.8817649086521889
0.72,-1.068,8.99,0.74080710775091,0.86,2283,-3123.9000000000024,0.0,0.0,0.0005,0.8810396534488504
0.8,-1.1500000000000001,9.07,0.7334355871266565,0.9,2362,-3237.5000000000023,0.0,0.0,0.0005,0.8816510802966785
0.64,-0.9814999999999998,8.88,0.7261374180074647,0.82,2426,-3335.8000000000043,0.0,0.0,0.0005,0.8797250859106529
0.66,-1.0055,9.0,0.7189118704973512,0.83,2492,-3436.300000000009,0.0,0.0,0.0005,0.8782187215995153
0.74,-1.1,9.28,0.7117582219632792,0.87,2566,-3546.15000000001,0.0,0.0,0.0005,0.8779770655689503
0.64,-1.0134999999999998,9.55,0.7046757569628911,0.82,2632,-3649.4500000000107,0.0,0.0,0.0005,0.8763210511282491
0.66,-0.9819999999999999,8.43,0.697663767172952,0.83,2696,-3745.85000000001,0.0,0.0,0.0005,0.8750347125798389
0.72,-1.092,9.57,0.6907215513185129,0.86,2768,-3854.8500000000104,0.0,0.0,0.0005,0.8746284787895163
0.74,-1.081,9.02,0.6838484151027725,0.87,2842,-3962.900000000011,0.0,0.0,0.0005,0.8745067087608525
0.72,-1.0785,9.25,0.6770436711376424,0.86,2914,-4070.8500000000117,0.0,0.0,0.0005,0.8741348372212253
0.74,-1.134,10.14,0.6703066388750015,0.87,2988,-4184.300000000011,0.0,0.0,0.0005,0.8740314921269683
0.62,-1.0134999999999998,10.21,0.6636366445386316,0.81,3051,-4286.400000000012,0.0,0.0,0.0005,0.8724701292367715
0.64,-1.0589999999999997,10.91,0.657033021056833,0.82,3115,-4392.000000000015,0.0,0.0,0.0005,0.8712211378243275
0.6,-0.9875,10.02,0.6504951079957114,0.8,3175,-4491.150000000013,0.0,0.0,0.0005,0.8695652173913043
0.66,-1.0664999999999998,10.57,0.6440222514931265,0.83,3239,-4595.7000000000135,0.0,0.0,0.0005,0.8686662122244945
0.64,-1.043,10.41,0.6376138041932984,0.82,3303,-4699.950000000015,0.0,0.0,0.0005,0.8675849811153077
0.54,-0.9114999999999999,9.73,0.6312691251820646,0.77,3359,-4793.25000000002,0.0,0.0,0.0005,0.8654640295587915
0.46,-0.8755000000000002,10.92,0.6249875799227835,0.73,3403,-4878.750000000018,0.0,0.0,0.0005,0.862582429270368
0.6,-1.0045,10.49,0.6187685401928729,0.8,3465,-4980.550000000018,0.0,0.0,0.0005,0.8612789002291189
0.62,-1.0070000000000001,10.0,0.6126113840209793,0.81,3527,-5081.900000000017,0.0,0.0,0.0005,0.8602326055906958
0.58,-0.976,10.38,0.6065154956247766,0.79,3583,-5177.350000000019,0.0,0.0,0.0005,0.8588282343531294
0.46,-0.8719999999999999,10.71,0.6004802653493791,0.73,3628,-5263.250000000018,0.0,0.0,0.0005,0.8563026857478926
0.66,-1.1039999999999999,11.65,0.594505089606372,0.83,3694,-5373.700000000016,0.0,0.0,0.0005,0.8557969621226688
0.62,-1.0254999999999999,10.59,0.5885893708134431,0.81,3756,-5476.200000000015,0.0,0.0,0.0005,0.8549330315034899
0.6,-1.0474999999999999,11.54,0.5827325173346204,0.8,3816,-5580.750000000018,0.0,0.0,0.0005,0.8539159414923162
0.56,-1.023,12.29,0.5769339434210992,0.78,3874,-5685.200000000014,0.0,0.0,0.0005,0.8525722595891656
0.62,-1.035,10.98,0.5711930691526644,0.81,3934,-5786.550000000018,0.0,0.0,0.0005,0.851812176397072
