avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-1.0,1.0,3.0,1,0.0,0,0,0.0,0.0,0.0005,0.0
-0.72,0.72,4.35,0.9900493386913721,0.14,-73,73,0.0,0.0,0.0005,0.13861386138613863
-0.78,0.78,4.3,0.980197693043223,0.11,-149,149,0.0,0.0,0.0005,0.12437810945273632
-0.84,0.84,4.25,0.970444077784251,0.08,-233,233,0.0,0.0,0.0005,0.10963455149501661
-0.64,0.64,4.84,0.9607875174472562,0.18,-297,297,0.0,0.0,0.0005,0.12718204488778054
-0.72,0.72,4.55,0.9512270462715811,0.14,-369,369,0.0,0.0,0.0005,0.12974051896207583
-0.62,0.62,4.88,0.9417617081065252,0.19,-431,431,0.0,0.0,0.0005,0.13976705490848584
-0.72,0.72,4.71,0.9323905563157222,0.14,-503,503,0.0,0.0,0.0005,0.1398002853067047
-0.76,0.76,4.39,0.9231126536824614,0.12,-579,579,0.0,0.0,0.0005,0.1373283395755306
-0.68,0.68,4.64,0.9139270723159584,0.16,-647,647,0.0,0.0,0.0005,0.13984461709211987
-0.8,0.8,4.33,0.9048328935585562,0.1,-727,727,0.0,0.0,0.0005,0.13586413586413587
-0.62,0.62,4.25,0.8958292078938495,0.19,-790,790,0.0,0.0,0.0005,0.1407811080835604
-0.78,0.78,3.7,0.886915114855721,0.11,-866,866,0.0,0.0,0.0005,0.13821815154038303
-0.72,0.72,4.79,0.8780897229382887,0.14,-938,938,0.0,0.0,0.0005,0.13835511145272866
-0.7,0.7,4.59,0.8693521495067424,0.15,-1008,1008,0.0,0.0,0.0005,0.139186295503212
-0.76,0.76,4.49,0.8607015207090729,0.12,-1084,1084,0.0,0.0,0.0005,0.13790806129247168
-0.62,0.62,4.69,0.8521369713886755,0.19,-1146,1146,0.0,0.0,0.0005,0.14116177389131793
-0.56,0.56,5.25,0.843657644997827,0.22,-1202,1202,0.0,0.0,0.0005,0.1457965902410347
-0.84,0.84,4.81,0.8352626935120188,0.08,-1286,1286,0.0,0.0,0.0005,0.14214325374791784
-0.58,0.58,5.32,0.8269512773451482,0.21,-1344,1344,0.0,0.0,0.0005,0.1457127827459232
-0.58,0.58,4.51,0.8187225652655491,0.21,-1402,1402,0.0,0.0,0.0005,0.1489255372313843
-0.62,0.62,4.61,0.8105757343128605,0.19,-1463,1463,0.0,0.0,0.0005,0.15088053307948596
-0.62,0.62,4.66,0.8025099697157205,0.19,-1527,1527,0.0,0.0,0.0005,0.15265788278055428
-0.78,0.78,4.52,0.7945244648102819,0.11,-1603,1603,0.0,0.0,0.0005,0.15080399826162538
-0.66,0.66,4.78,0.7866184209595359,0.17,-1669,1669,0.0,0.0,0.0005,0.15160349854227406
-0.88,0.88,4.0,0.7787910474734399,0.06,-1757,1757,0.0,0.0,0.0005,0.1479408236705318
-0.76,0.76,4.38,0.7710415615298397,0.12,-1833,1833,0.0,0.0,0.0005,0.14686658977316416
-0.78,0.78,4.31,0.7633691880961806,0.11,-1911,1911,0.0,0.0,0.0005,0.14550166604961126
-0.74,0.74,4.99,0.7557731598519929,0.13,-1985,1985,0.0,0.0,0.0005,0.14494823277400928
-0.7,0.7,4.58,0.748252717112154,0.15,-2055,2055,0.0,0.0,0.0005,0.1451223715960014
-0.56,0.56,5.39,0.74080710775091,0.22,-2113,2113,0.0,0.0,0.0005,0.14761746084638455
-0.68,0.68,5.32,0.7334355871266565,0.16,-2180,2180,0.0,0.0,0.0005,0.14801676878426315
-0.68,0.68,4.63,0.7261374180074647,0.16,-2250,2250,0.0,0.0,0.0005,0.14839112777257107
-0.78,0.78,4.68,0.7189118704973512,0.11,-2326,2326,0.0,0.0,0.0005,0.1472281126931233
-0.68,0.68,4.38,0.7117582219632792,0.16,-2394,2394,0.0,0.0,0.0005,0.14760364598647457
-0.7,0.7,4.32,0.7046757569628911,0.15,-2464,2464,0.0,0.0,0.0005,0.14767209368751785
-0.74,0.74,4.42,0.697663767172952,0.13,-2538,2538,0.0,0.0,0.0005,0.1471813385170786
-0.64,0.64,4.34,0.6907215513185129,0.18,-2602,2602,0.0,0.0,0.0005,0.14806808970548502
-0.62,0.62,4.63,0.6838484151027725,0.19,-2664,2664,0.0,0.0,0.0005,0.14917127071823205
-0.74,0.74,4.77,0.6770436711376424,0.13,-2738,2738,0.0,0.0,0.0005,0.1486798256857216
-0.62,0.62,5.06,0.6703066388750015,0.19,-2800,2800,0.0,0.0,0.0005,0.14971257185703574
-0.68,0.68,4.84,0.6636366445386316,0.16,-2867,2867,0.0,0.0,0.0005,0.14996342355523043
-0.72,0.72,4.38,0.657033021056833,0.14,-2941,2941,0.0,0.0,0.0005,0.14972625565341585
-0.64,0.64,4.22,0.6504951079957114,0.18,-3003,3003,0.0,0.0,0.0005,0.15043013252731924
-0.7,0.7,4.29,0.6440222514931265,0.15,-3073,3073,0.0,0.0,0.0005,0.15042035900931605
-0.62,0.62,4.8,0.6376138041932984,0.19,-3135,3135,0.0,0.0,0.0005,0.15129971117529437
-0.74,0.74,4.85,0.6312691251820646,0.13,-3209,3209,0.0,0.0,0.0005,0.1508367746142143
-0.6,0.6,4.71,0.6249875799227835,0.2,-3269,3269,0.0,0.0,0.0005,0.15188257817485643
-0.74,0.74,4.54,0.6187685401928729,0.13,-3343,3343,0.0,0.0,0.0005,0.15142678608623203
-0.76,0.76,4.12,0.6126113840209793,0.12,-3419,3419,0.0,0.0,0.0005,0.15078555396857785
-0.76,0.76,4.66,0.6065154956247766,0.12,-3495,3495,0.0,0.0,0.0005,0.15016996600679863
-0.7,0.7,4.63,0.6004802653493791,0.15,-3566,3566,0.0,0.0,0.0005,0.15016663399333463
-0.64,0.64,4.32,0.594505089606372,0.18,-3628,3628,0.0,0.0,0.0005,0.15074024226110364
-0.64,0.64,5.17,0.5885893708134431,0.18,-3694,3694,0.0,0.0,0.0005,0.15129220901716658
-0.7,0.7,4.12,0.5827325173346204,0.15,-3762,3762,0.0,0.0,0.0005,0.1512682836511757
-0.78,0.78,4.13,0.5769339434210992,0.11,-3840,3840,0.0,0.0,0.0005,0.15051808762043264
-0.6,0.6,4.71,0.5711930691526644,0.2,-3900,3900,0.0,0.0,0.0005,0.1514015354401
-0.8,0.8,4.04,0.565509320379691,0.1,-3980,3980,0.0,0.0,0.0005,0.15049991229608842
-0.64,0.64,4.56,0.5598821286657205,0.18,-4044,4044,0.0,0.0,0.0005,0.15100844681951386
-0.66,0.66,4.58,0.5543109312306146,0.17,-4110,4110,0.0,0.0,0.0005,0.15133028300288087
-0.58,0.58,4.77,0.5487951708942683,0.21,-4168,4168,0.0,0.0,0.0005,0.1523079486752208
-0.66,0.66,4.68,0.5433342960208886,0.17,-4233,4233,0.0,0.0,0.0005,0.15259793476479266
-0.66,0.66,4.1,0.5379277604638235,0.17,-4299,4299,0.0,0.0,0.0005,0.1528785679729076
-0.62,0.62,5.16,0.5325750235109391,0.19,-4361,4361,0.0,0.0,0.0005,0.1534677035391208
-0.72,0.72,3.9,0.5272755498305473,0.14,-4435,4435,0.0,0.0,0.0005,0.1532573035463209
-0.58,0.58,5.18,0.5220288094178624,0.21,-4491,4491,0.0,0.0,0.0005,0.15413013382556529
-0.56,0.56,5.37,0.5168342775419988,0.22,-4547,4547,0.0,0.0,0.0005,0.15512801090743827
-0.7,0.7,4.53,0.5116914346934888,0.15,-4619,4619,0.0,0.0,0.0005,0.15505148485300702
-0.62,0.62,4.57,0.506599766532328,0.19,-4679,4679,0.0,0.0,0.0005,0.155565358035583
-0.6,0.6,5.12,0.5015587638365347,0.2,-4739,4739,0.0,0.0,0.0005,0.15620924503695116
-0.66,0.66,4.27,0.496567922451223,0.17,-4805,4805,0.0,0.0,0.0005,0.15640622768175974
-0.72,0.72,4.72,0.4916267432381818,0.14,-4876,4876,0.0,0.0,0.0005,0.15617518659343754
-0.58,0.58,4.56,0.4867347320259549,0.21,-4934,4934,0.0,0.0,0.0005,0.15692264963199556
-0.66,0.66,4.18,0.48189139956041893,0.17,-5000,5000,0.0,0.0,0.0005,0.15710176688124913
