avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,-1.2,6.0,1,1.0,0,0,0.0,0.0,0.0005,1.0
0.88,-1.1155,6.66,0.9900493386913721,0.94,87,-110.30000000000005,0.0,0.0,0.0005,0.9405940594059405
0.74,-0.9630000000000001,6.37,0.980197693043223,0.87,161,-206.5499999999998,0.0,0.0,0.0005,0.9054726368159204
0.84,-1.075,6.66,0.970444077784251,0.92,247,-316.2999999999995,0.0,0.0,0.0005,0.9102990033222591
0.86,-1.1035000000000001,6.84,0.9607875174472562,0.93,331,-424.44999999999925,0.0,0.0,0.0005,0.9152119700748129
0.8,-1.0504999999999998,6.95,0.9512270462715811,0.9,411,-529.4499999999994,0.0,0.0,0.0005,0.9121756487025948
0.7,-0.9330000000000002,6.61,0.9417617081065252,0.85,481,-622.8499999999998,0.0,0.0,0.0005,0.9018302828618968
0.72,-0.981,7.17,0.9323905563157222,0.86,553,-720.6500000000001,0.0,0.0,0.0005,0.8958630527817404
0.78,-1.0325,7.02,0.9231126536824614,0.89,631,-824.2000000000006,0.0,0.0,0.0005,0.8951310861423221
0.64,-0.889,6.9,0.9139270723159584,0.82,695,-913.050000000001,0.0,0.0,0.0005,0.8867924528301887
0.66,-0.9230000000000002,7.18,0.9048328935585562,0.83,761,-1005.2000000000007,0.0,0.0,0.0005,0.8811188811188811
0.74,-0.9984999999999999,7.11,0.8958292078938495,0.87,834,-1103.7000000000012,0.0,0.0,0.0005,0.8801089918256131
0.68,-0.9305,6.94,0.886915114855721,0.84,902,-1196.8500000000006,0.0,0.0,0.0005,0.8767693588676103
0.8,-1.0865,7.71,0.8780897229382887,0.9,982,-1305.4000000000008,0.0,0.0,0.0005,0.8785549577248271
0.76,-1.0230000000000001,7.22,0.8693521495067424,0.88,1058,-1407.8500000000004,0.0,0.0,0.0005,0.8786581013561742
0.66,-0.927,7.22,0.8607015207090729,0.83,1124,-1500.4499999999987,0.0,0.0,0.0005,0.8754163890739507
0.74,-1.0165,7.45,0.8521369713886755,0.87,1198,-1601.9999999999982,0.0,0.0,0.0005,0.8750780762023735
0.8,-1.0805,7.59,0.843657644997827,0.9,1278,-1710.2499999999977,0.0,0.0,0.0005,0.8765432098765432
0.72,-0.9915,7.36,0.8352626935120188,0.86,1352,-1811.4499999999973,0.0,0.0,0.0005,0.8756246529705719
0.8,-1.1095,8.21,0.8269512773451482,0.9,1430,-1920.299999999997,0.0,0.0,0.0005,0.8769068911099421
0.78,-1.068,7.74,0.8187225652655491,0.89,1508,-2026.9499999999964,0.0,0.0,0.0005,0.8775612193903048
0.76,-1.0685,8.16,0.8105757343128605,0.88,1583,-2132.5499999999975,0.0,0.0,0.0005,0.8776772965254641
0.78,-1.0910000000000002,8.18,0.8025099697157205,0.89,1661,-2241.7000000000007,0.0,0.0,0.0005,0.8782371649250341
0.68,-0.9754999999999999,7.87,0.7945244648102819,0.84,1729,-2339.1500000000024,0.0,0.0,0.0005,0.8765754019991309
0.72,-1.0214999999999999,7.99,0.7866184209595359,0.86,1801,-2441.250000000003,0.0,0.0,0.0005,0.8758850478967097
0.72,-1.0639999999999998,8.91,0.7787910474734399,0.86,1873,-2547.7000000000025,0.0,0.0,0.0005,0.875249900039984
0.8,-1.125,8.47,0.7710415615298397,0.9,1953,-2660.0500000000047,0.0,0.0,0.0005,0.8762014609765475
0.74,-1.061,8.46,0.7633691880961806,0.87,2027,-2766.4000000000087,0.0,0.0,0.0005,0.8759718622732321
0.64,-0.9614999999999999,8.39,0.7557731598519929,0.82,2091,-2861.900000000009,0.0,0.0,0.0005,0.8739735808639771
0.64,-0.9414999999999999,7.99,0.748252717112154,0.82,2157,-2958.7500000000086,0.0,0.0,0.0005,0.8721130644605308
0.66,-0.9830000000000001,8.47,0.74080710775091,0.83,2221,-3054.80000000001,0.0,0.0,0.0005,0.870709763412196
0.7,-1.0375,8.79,0.7334355871266565,0.85,2290,-3157.25000000001,0.0,0.0,0.0005,0.8700419219606579
0.58,-0.9135,8.74,0.7261374180074647,0.79,2350,-3250.850000000011,0.0,0.0,0.0005,0.8675413933145892
0.56,-0.8889999999999999,8.56,0.7189118704973512,0.78,2404,-3337.200000000011,0.0,0.0,0.0005,0.8648894274462284
0.78,-1.1535000000000002,9.73,0.7117582219632792,0.89,2482,-3452.850000000013,0.0,0.0,0.0005,0.8656277565421935
0.7,-1.0375,8.75,0.7046757569628911,0.85,2552,-3556.450000000015,0.0,0.0,0.0005,0.8651813767495001
0.7,-1.0524999999999998,9.06,0.697663767172952,0.85,2622,-3661.850000000015,0.0,0.0,0.0005,0.8647597889475146
0.7,-1.0835,9.92,0.6907215513185129,0.85,2692,-3770.2000000000166,0.0,0.0,0.0005,0.8643609835179681
0.62,-0.9605000000000001,8.89,0.6838484151027725,0.81,2754,-3866.050000000019,0.0,0.0,0.0005,0.8629308076821889
